date,game,T1,Draw,T2
2025-03-22,Montenegro vs Gibraltar,0.81,0.149,0.041
2025-03-22,Wales vs Kazakhstan,0.689,0.212,0.099
2025-03-22,Luxembourg vs Sweden,0.1,0.213,0.687
2025-03-23,France vs Croatia,0.552,0.261,0.187
2025-03-23,Germany vs Italy,0.404,0.287,0.309
2025-03-23,Portugal vs Denmark,0.515,0.271,0.215
2025-03-23,Spain vs Netherlands,0.628,0.237,0.135
2025-03-23,Belgium vs Ukraine,0.412,0.287,0.301
2025-03-23,Hungary vs Turkey,0.361,0.289,0.35
2025-03-23,Scotland vs Greece,0.297,0.286,0.417
2025-03-23,Serbia vs Austria,0.288,0.285,0.426
2025-03-23,Georgia vs Armenia,0.667,0.222,0.111
2025-03-23,Iceland vs Kosovo,0.381,0.289,0.331
2025-03-23,Ireland vs Bulgaria,0.499,0.274,0.227
2025-03-23,Slovenia vs Slovakia,0.384,0.289,0.327
2025-03-24,Albania vs Andorra,0.857,0.118,0.025
2025-03-24,Bosnia and Herzegovina vs Cyprus,0.568,0.257,0.175
2025-03-24,England vs Latvia,0.92,0.072,0.008
2025-03-24,Lithuania vs Finland,0.126,0.231,0.643
2025-03-24,Poland vs Malta,0.789,0.161,0.05
2025-03-24,San Marino vs Romania,0.004,0.047,0.949
2025-03-25,China vs Australia,0.096,0.21,0.694
2025-03-25,Indonesia vs Bahrain,0.154,0.247,0.598
2025-03-25,Iran vs Uzbekistan,0.535,0.266,0.199
2025-03-25,Japan vs Saudi Arabia,0.732,0.192,0.076
2025-03-25,Kuwait vs Oman,0.183,0.26,0.558
2025-03-25,Kyrgyzstan vs Qatar,0.13,0.234,0.636
2025-03-25,North Korea vs United Arab Emirates,0.206,0.268,0.526
2025-03-25,Palestine vs Iraq,0.181,0.259,0.56
2025-03-25,South Korea vs Jordan,0.539,0.265,0.197
2025-03-25,Bhutan vs Yemen,0.033,0.134,0.833
2025-03-25,Brunei vs Lebanon,0.012,0.084,0.904
2025-03-25,India vs Bangladesh,0.659,0.225,0.116
2025-03-25,Maldives vs Philippines,0.139,0.239,0.621
2025-03-25,Myanmar vs Afghanistan,0.187,0.261,0.552
2025-03-25,Nepal vs Malaysia,0.089,0.204,0.706
2025-03-25,Pakistan vs Syria,0.017,0.101,0.882
2025-03-25,Singapore vs Hong Kong,0.288,0.285,0.426
2025-03-25,Taiwan vs Turkmenistan,0.11,0.221,0.669
2025-03-25,Tajikistan vs East Timor,0.894,0.092,0.014
2025-03-25,Thailand vs Sri Lanka,0.898,0.089,0.013
2025-03-25,Vietnam vs Laos,0.898,0.088,0.013
2025-03-25,Gibraltar vs Czechia,0.01,0.079,0.911
2025-03-25,Israel vs Norway,0.159,0.25,0.591
2025-03-25,Liechtenstein vs Kazakhstan,0.031,0.13,0.839
2025-03-25,Moldova vs Estonia,0.332,0.289,0.38
2025-03-25,Montenegro vs Faroe Islands,0.632,0.236,0.133
2025-03-25,North Macedonia vs Wales,0.228,0.274,0.498
2025-03-25,Azerbaijan vs Belarus,0.289,0.285,0.425
2025-03-25,Sweden vs Northern Ireland,0.57,0.256,0.174
2025-03-25,Switzerland vs Luxembourg,0.745,0.185,0.07
2025-03-25,Argentina vs Brazil,0.484,0.277,0.239
2025-03-25,Bolivia vs Uruguay,0.105,0.217,0.677
2025-03-25,Chile vs Ecuador,0.165,0.252,0.583
2025-03-25,Colombia vs Paraguay,0.592,0.249,0.159
2025-03-25,Venezuela vs Peru,0.369,0.289,0.342
2025-03-25,Belize vs Costa Rica,0.025,0.119,0.856
2025-03-25,Bermuda vs Honduras,0.053,0.166,0.781
2025-03-25,Cuba vs Trinidad and Tobago,0.236,0.276,0.488
2025-03-25,Guadeloupe vs Nicaragua,0.325,0.288,0.387
2025-03-25,Guyana vs Guatemala,0.121,0.228,0.651
2025-03-25,St Vincent & Grenadines vs Jamaica,0.046,0.156,0.797
2025-03-25,Suriname vs Martinique,0.289,0.285,0.425
2025-06-04,Chile vs Argentina,0.061,0.175,0.764
2025-06-04,Colombia vs Peru,0.645,0.231,0.125
2025-06-04,Ecuador vs Brazil,0.261,0.281,0.457
2025-06-04,Paraguay vs Uruguay,0.182,0.259,0.559
2025-06-04,Venezuela vs Bolivia,0.444,0.283,0.273
2025-06-04,Barbados vs Aruba,0.41,0.287,0.303
2025-06-04,Bermuda vs Cayman Islands,0.699,0.208,0.093
2025-06-04,Dominica vs British Virgin Islands,0.732,0.192,0.076
2025-06-04,Grenada vs Bahamas,0.659,0.225,0.116
2025-06-04,Montserrat vs Belize,0.21,0.269,0.521
2025-06-04,St Vincent & Grenadines vs Anguilla,0.836,0.132,0.032
2025-06-05,Australia vs Japan,0.186,0.261,0.553
2025-06-05,Bahrain vs Saudi Arabia,0.347,0.289,0.363
2025-06-05,Indonesia vs China,0.256,0.28,0.464
2025-06-05,Iraq vs South Korea,0.169,0.254,0.577
2025-06-05,Kuwait vs Palestine,0.28,0.284,0.436
2025-06-05,North Korea vs Kyrgyzstan,0.482,0.277,0.241
2025-06-05,Oman vs Jordan,0.244,0.278,0.478
2025-06-05,Qatar vs Iran,0.094,0.208,0.698
2025-06-05,United Arab Emirates vs Uzbekistan,0.202,0.266,0.532
2025-06-06,Czechia vs Montenegro,0.621,0.239,0.139
2025-06-06,Estonia vs Israel,0.145,0.243,0.612
2025-06-06,North Macedonia vs Belgium,0.135,0.237,0.629
2025-06-06,Wales vs Liechtenstein,0.94,0.055,0.005
2025-06-06,Scotland vs Iceland,0.569,0.256,0.175
2025-06-06,Antigua and Barbuda vs Cuba,0.072,0.188,0.739
2025-06-06,Curaçao vs Saint Lucia,0.688,0.213,0.1
2025-06-06,Guatemala vs Dominican Republic,0.606,0.245,0.149
2025-06-06,Nicaragua vs Guyana,0.494,0.275,0.231
2025-06-06,Suriname vs Puerto Rico,0.625,0.238,0.137
2025-06-06,Trinidad and Tobago vs Saint Kitts and Nevis,0.677,0.217,0.105
2025-06-07,Albania vs Serbia,0.182,0.259,0.559
2025-06-07,Andorra vs England,0.003,0.04,0.957
2025-06-07,Austria vs Romania,0.533,0.266,0.201
2025-06-07,Bosnia and Herzegovina vs San Marino,0.891,0.094,0.015
2025-06-07,Malta vs Lithuania,0.34,0.289,0.371
2025-06-07,Anguilla vs El Salvador,0.007,0.064,0.929
2025-06-07,Aruba vs Haiti,0.015,0.094,0.891
2025-06-07,Bahamas vs Costa Rica,0.004,0.05,0.946
2025-06-07,Belize vs Panama,0.015,0.095,0.89
2025-06-07,British Virgin Islands vs Jamaica,0.002,0.037,0.961
2025-06-07,Cayman Islands vs Honduras,0.008,0.071,0.92
2025-06-09,Belgium vs Wales,0.494,0.275,0.231
2025-06-09,Estonia vs Norway,0.05,0.162,0.787
2025-06-09,Faroe Islands vs Gibraltar,0.609,0.244,0.147
2025-06-09,Kazakhstan vs North Macedonia,0.177,0.257,0.566
2025-06-09,Liechtenstein vs Scotland,0.004,0.051,0.945
2025-06-09,Montenegro vs Armenia,0.483,0.277,0.24
2025-06-10,China vs Bahrain,0.231,0.275,0.494
2025-06-10,Iran vs North Korea,0.802,0.153,0.044
2025-06-10,Japan vs Indonesia,0.865,0.113,0.022
2025-06-10,Jordan vs Iraq,0.395,0.288,0.317
2025-06-10,Kyrgyzstan vs United Arab Emirates,0.126,0.231,0.643
2025-06-10,Palestine vs Oman,0.244,0.278,0.478
2025-06-10,Saudi Arabia vs Australia,0.175,0.257,0.568
2025-06-10,South Korea vs Kuwait,0.793,0.159,0.048
2025-06-10,Uzbekistan vs Qatar,0.54,0.264,0.196
2025-06-10,Afghanistan vs Syria,0.076,0.192,0.731
2025-06-10,Bangladesh vs Singapore,0.186,0.261,0.553
2025-06-10,Brunei vs Bhutan,0.409,0.287,0.304
2025-06-10,East Timor vs Maldives,0.143,0.242,0.615
2025-06-10,Hong Kong vs India,0.312,0.288,0.401
2025-06-10,Laos vs Nepal,0.139,0.239,0.623
2025-06-10,Lebanon vs Yemen,0.604,0.246,0.151
2025-06-10,Malaysia vs Vietnam,0.247,0.278,0.475
2025-06-10,Pakistan vs Myanmar,0.258,0.281,0.461
2025-06-10,Philippines vs Tajikistan,0.174,0.256,0.57
2025-06-10,Sri Lanka vs Taiwan,0.161,0.25,0.589
2025-06-10,Turkmenistan vs Thailand,0.183,0.26,0.557
2025-06-10,Finland vs Poland,0.192,0.263,0.544
2025-06-10,Latvia vs Albania,0.074,0.189,0.737
2025-06-10,Romania vs Cyprus,0.78,0.166,0.054
2025-06-10,San Marino vs Austria,0.001,0.03,0.969
2025-06-10,Serbia vs Andorra,0.919,0.072,0.009
2025-06-10,Azerbaijan vs Hungary,0.066,0.181,0.753
2025-06-10,Argentina vs Colombia,0.505,0.273,0.222
2025-06-10,Bolivia vs Chile,0.296,0.286,0.418
2025-06-10,Brazil vs Paraguay,0.611,0.243,0.146
2025-06-10,Peru vs Ecuador,0.172,0.255,0.572
2025-06-10,Uruguay vs Venezuela,0.602,0.246,0.152
2025-06-10,Costa Rica vs Trinidad and Tobago,0.64,0.233,0.128
2025-06-10,Cuba vs Bermuda,0.517,0.27,0.213
2025-06-10,Dominican Republic vs Dominica,0.695,0.21,0.096
2025-06-10,El Salvador vs Suriname,0.395,0.288,0.317
2025-06-10,Guyana vs Montserrat,0.68,0.216,0.104
2025-06-10,Haiti vs Curaçao,0.589,0.25,0.161
2025-06-10,Honduras vs Antigua and Barbuda,0.893,0.093,0.014
2025-06-10,Jamaica vs Guatemala,0.436,0.284,0.28
2025-06-10,Panama vs Nicaragua,0.741,0.187,0.072
2025-06-10,Puerto Rico vs St Vincent & Grenadines,0.342,0.289,0.369
2025-06-10,Saint Kitts and Nevis vs Grenada,0.401,0.288,0.312
2025-06-10,Saint Lucia vs Barbados,0.456,0.282,0.263
2025-07-01,China vs Hong Kong,0.663,0.223,0.113
2025-07-01,China vs Japan,0.038,0.144,0.818
2025-07-01,Hong Kong vs Japan,0.007,0.067,0.926
2025-07-01,South Korea vs China,0.74,0.188,0.072
2025-07-01,South Korea vs Hong Kong,0.892,0.094,0.015
2025-07-01,South Korea vs Japan,0.234,0.276,0.49
2025-09-09,Argentina vs Venezuela,0.747,0.184,0.069
2025-09-09,Brazil vs Chile,0.672,0.22,0.108
2025-09-09,Colombia vs Bolivia,0.705,0.205,0.09
2025-09-09,Paraguay vs Ecuador,0.215,0.271,0.515
2025-09-09,Uruguay vs Peru,0.614,0.242,0.144
2025-09-14,Bolivia vs Brazil,0.082,0.198,0.72
2025-09-14,Chile vs Uruguay,0.137,0.238,0.625
2025-09-14,Ecuador vs Argentina,0.165,0.252,0.583
2025-09-14,Peru vs Paraguay,0.299,0.286,0.415
2025-09-14,Venezuela vs Colombia,0.132,0.235,0.633
2025-10-09,Bangladesh vs Hong Kong,0.141,0.24,0.619
2025-10-09,Bhutan vs Lebanon,0.009,0.074,0.917
2025-10-09,Brunei vs Yemen,0.043,0.151,0.807
2025-10-09,East Timor vs Philippines,0.042,0.15,0.808
2025-10-09,Laos vs Malaysia,0.024,0.117,0.859
2025-10-09,Maldives vs Tajikistan,0.053,0.166,0.781
2025-10-09,Myanmar vs Syria,0.03,0.129,0.842
2025-10-09,Nepal vs Vietnam,0.052,0.164,0.785
2025-10-09,Pakistan vs Afghanistan,0.123,0.229,0.648
2025-10-09,Singapore vs India,0.249,0.279,0.473
2025-10-09,Sri Lanka vs Turkmenistan,0.037,0.142,0.821
2025-10-09,Taiwan vs Thailand,0.044,0.152,0.804
2025-10-09,Romania vs Moldova,0.74,0.188,0.072
2025-10-13,Montenegro vs Liechtenstein,0.88,0.102,0.018
2025-10-14,Afghanistan vs Pakistan,0.648,0.229,0.123
2025-10-14,Bhutan vs Lebanon,0.009,0.074,0.917
2025-10-14,Brunei vs Yemen,0.043,0.151,0.807
2025-10-14,Hong Kong vs Bangladesh,0.619,0.24,0.141
2025-10-14,India vs Singapore,0.473,0.279,0.249
2025-10-14,Malaysia vs Laos,0.859,0.117,0.024
2025-10-14,Myanmar vs Syria,0.03,0.129,0.842
2025-10-14,Philippines vs East Timor,0.808,0.15,0.042
2025-10-14,Tajikistan vs Maldives,0.781,0.166,0.053
2025-10-14,Thailand vs Taiwan,0.804,0.152,0.044
2025-10-14,Turkmenistan vs Sri Lanka,0.821,0.142,0.037
2025-10-14,Vietnam vs Nepal,0.785,0.164,0.052
2025-11-18,Afghanistan vs Myanmar,0.552,0.261,0.187
2025-11-18,Bangladesh vs India,0.116,0.225,0.659
2025-11-18,Bhutan vs Yemen,0.033,0.134,0.833
2025-11-18,Brunei vs Lebanon,0.012,0.084,0.904
2025-11-18,East Timor vs Tajikistan,0.014,0.092,0.894
2025-11-18,Hong Kong vs Singapore,0.426,0.285,0.288
2025-11-18,Laos vs Vietnam,0.013,0.088,0.898
2025-11-18,Malaysia vs Nepal,0.706,0.204,0.089
2025-11-18,Pakistan vs Syria,0.017,0.101,0.882
2025-11-18,Philippines vs Maldives,0.621,0.239,0.139
2025-11-18,Sri Lanka vs Thailand,0.013,0.089,0.898
2025-11-18,Turkmenistan vs Taiwan,0.669,0.221,0.11
2026-03-26,Gibraltar vs Latvia,0.149,0.244,0.607
2026-03-26,Malta vs Luxembourg,0.182,0.259,0.559
2026-03-31,Afghanistan vs Syria,0.076,0.192,0.731
2026-03-31,Bhutan vs Brunei,0.304,0.287,0.409
2026-03-31,India vs Hong Kong,0.401,0.288,0.312
2026-03-31,Lebanon vs Yemen,0.604,0.246,0.151
2026-03-31,Maldives vs East Timor,0.615,0.242,0.143
2026-03-31,Myanmar vs Pakistan,0.461,0.281,0.258
2026-03-31,Nepal vs Laos,0.623,0.239,0.139
2026-03-31,Singapore vs Bangladesh,0.553,0.261,0.186
2026-03-31,Taiwan vs Sri Lanka,0.589,0.25,0.161
2026-03-31,Tajikistan vs Philippines,0.57,0.256,0.174
2026-03-31,Thailand vs Turkmenistan,0.557,0.26,0.183
2026-03-31,Vietnam vs Malaysia,0.475,0.278,0.247
2026-03-31,Latvia vs Gibraltar,0.607,0.244,0.149
2026-03-31,Luxembourg vs Malta,0.559,0.259,0.182
